model_lm,index,epoch,spec,model,n,ll,delta_ll,b_surprisal,p_surprisal,response
german-gpt2,2,0.262,full,baseline,109404,-821827.9623363131,4118.21409816877,13.122796175385357,1.0260714014341175e-203,raw_rt
german-gpt2,3,0.394,full,baseline,109404,-821827.9623363131,4118.21409816877,13.122796175385357,1.0260714014341175e-203,raw_rt
german-gpt2,0,0.0,full,biology,109404,-821827.9623363131,4118.21409816877,13.122796175385357,1.0260714014341175e-203,raw_rt
german-gpt2,1,0.131,full,biology,109404,-821135.4069864998,4810.769447982078,15.426082736351077,3.2336452021688526e-243,raw_rt
german-gpt2,2,0.262,full,biology,109404,-821193.5742343835,4752.602200098336,14.946244343275973,2.6260076167330423e-235,raw_rt
german-gpt2,3,0.394,full,biology,109404,-821170.1393534265,4776.037081055343,14.926902219923303,1.5432426640787522e-235,raw_rt
german-gpt2,0,0.0,full,physics,109404,-821827.9623363131,4118.21409816877,13.122796175385357,1.0260714014341175e-203,raw_rt
german-gpt2,1,0.131,full,physics,109404,-821173.3634244219,4772.813010059996,15.56220802649268,5.595304577086587e-256,raw_rt
german-gpt2,2,0.262,full,physics,109404,-821039.6577758664,4906.518658615416,15.89465956444809,1.2679403519215158e-265,raw_rt
german-gpt2,3,0.394,full,physics,109404,-821172.997616087,4773.178818394896,15.682960582585418,3.0765041049299976e-261,raw_rt
german-gpt2,0,0.0,full,prompted,109404,-821334.9475262108,4611.228908271063,13.045314984113258,5.690784836885649e-205,raw_rt
german-gpt2,1,0.131,full,prompted,109404,-821334.9475262108,4611.228908271063,13.045314984113258,5.690784836885649e-205,raw_rt
german-gpt2,2,0.262,full,prompted,109404,-821334.9475262108,4611.228908271063,13.045314984113258,5.690784836885649e-205,raw_rt
german-gpt2,3,0.394,full,prompted,109404,-821334.9475262108,4611.228908271063,13.045314984113258,5.690784836885649e-205,raw_rt
german-gpt2,0,0.0,full,prompted_level,109404,-821471.4377209389,4474.738713542931,13.462394582156792,3.944043370641273e-216,raw_rt
german-gpt2,1,0.131,full,prompted_level,109404,-821471.4377209389,4474.738713542931,13.462394582156792,3.944043370641273e-216,raw_rt
german-gpt2,2,0.262,full,prompted_level,109404,-821471.4377209389,4474.738713542931,13.462394582156792,3.944043370641273e-216,raw_rt
german-gpt2,3,0.394,full,prompted_level,109404,-821471.4377209389,4474.738713542931,13.462394582156792,3.944043370641273e-216,raw_rt
german-gpt2,0,0.0,full,aligned,109404,-96492.62702736363,1346.4689724515192,0.016103203384456727,2.7081620096233004e-176,log_rt
german-gpt2,1,0.131,full,aligned,109404,-96365.5801008651,1473.5158989500487,0.01809553071437136,6.6229368598412995e-195,log_rt
german-gpt2,2,0.262,full,aligned,109404,-96351.42515449971,1487.6708453154424,0.017899059848970805,1.573329529825685e-193,log_rt
german-gpt2,3,0.394,full,aligned,109404,-96373.89172579965,1465.2042740155011,0.01766910539755295,2.2392162143996797e-189,log_rt
german-gpt2,0,0.0,full,baseline,109404,-96492.62702736363,1346.4689724515192,0.016103203384456727,2.7081620096233004e-176,log_rt
german-gpt2,1,0.131,full,baseline,109404,-96492.62702736363,1346.4689724515192,0.016103203384456727,2.7081620096233004e-176,log_rt
german-gpt2,2,0.262,full,baseline,109404,-96492.62702736363,1346.4689724515192,0.016103203384456727,2.7081620096233004e-176,log_rt
german-gpt2,3,0.394,full,baseline,109404,-96492.62702736363,1346.4689724515192,0.016103203384456727,2.7081620096233004e-176,log_rt
german-gpt2,0,0.0,full,biology,109404,-96492.62702736363,1346.4689724515192,0.016103203384456727,2.7081620096233004e-176,log_rt
german-gpt2,1,0.131,full,biology,109404,-96394.33840325824,1444.7575965569122,0.018465719633320877,3.361181921021959e-198,log_rt
german-gpt2,2,0.262,full,biology,109404,-96415.55680312298,1423.5391966921743,0.017907283244192985,3.117067385488878e-192,log_rt
german-gpt2,3,0.394,full,biology,109404,-96415.07231469953,1424.0236851156224,0.017854291332463454,1.0454538661324014e-191,log_rt
german-gpt2,0,0.0,full,physics,109404,-96492.62702736363,1346.4689724515192,0.016103203384456727,2.7081620096233004e-176,log_rt
german-gpt2,1,0.131,full,physics,109404,-96389.25248324824,1449.843516566907,0.01829193235534061,2.434820135453729e-201,log_rt
german-gpt2,2,0.262,full,physics,109404,-96360.22678363672,1478.8692161784275,0.018604534496448197,8.61045213979463e-207,log_rt
german-gpt2,3,0.394,full,physics,109404,-96389.06042209268,1450.0355777224759,0.018317273179933383,6.652183286579178e-203,log_rt
german-gpt2,0,0.0,full,prompted,109404,-96399.7779770525,1439.318022762658,0.015842472109646455,1.6198970588277726e-172,log_rt
german-gpt2,1,0.131,full,prompted,109404,-96399.7779770525,1439.318022762658,0.015842472109646455,1.6198970588277726e-172,log_rt
german-gpt2,2,0.262,full,prompted,109404,-96399.7779770525,1439.318022762658,0.015842472109646455,1.6198970588277726e-172,log_rt
german-gpt2,3,0.394,full,prompted,109404,-96399.7779770525,1439.318022762658,0.015842472109646455,1.6198970588277726e-172,log_rt
german-gpt2,0,0.0,full,prompted_level,109404,-96413.94924695604,1425.1467528591165,0.01634718791853538,2.9503047263792463e-182,log_rt
german-gpt2,1,0.131,full,prompted_level,109404,-96413.94924695604,1425.1467528591165,0.01634718791853538,2.9503047263792463e-182,log_rt
german-gpt2,2,0.262,full,prompted_level,109404,-96413.94924695604,1425.1467528591165,0.01634718791853538,2.9503047263792463e-182,log_rt
german-gpt2,3,0.394,full,prompted_level,109404,-96413.94924695604,1425.1467528591165,0.01634718791853538,2.9503047263792463e-182,log_rt
german-gpt2,0,0.0,paper_full,baseline,109404,-820079.2020561291,3312.4815970521886,7.901008494306773,8.937081171112276e-73,raw_rt
german-gpt2,1,0.131,paper_full,baseline,109404,-820079.2020561291,3312.4815970521886,7.901008494306773,8.937081171112276e-73,raw_rt
german-gpt2,0,0.0,paper_full,baseline,109404,-96703.90702134417,1168.234554557479,0.01886344618427874,2.149420665461568e-225,log_rt
german-gpt2,1,0.131,paper_full,baseline,109404,-96703.90702134417,1168.234554557479,0.01886344618427874,2.149420665461568e-225,log_rt
