model,group,layer,feature,attention_method,spearman,p,n
baseline,novices,5,RPD_inc,raw,0.11612633839289964,1.5920100391669748e-06,1699
baseline,novices,5,TFC,raw,0.09785524521986035,5.28617367538052e-05,1701
baseline,novices,5,pca,raw,0.11587143647289559,1.678493001436318e-06,1699
baseline,novices,6,FPRT,raw,0.41588947684511013,4.856055544001785e-72,1699
baseline,novices,6,TFT,raw,0.3233358824663173,1.0856612268990637e-42,1701
baseline,novices,6,FFD,raw,0.5523523233555043,2.6241273739756032e-136,1699
baseline,novices,6,SFD,raw,0.5316828105470652,1.0206927920552557e-122,1673
baseline,novices,6,RPD_inc,raw,0.29128794628848037,1.4019661415389949e-34,1699
baseline,novices,6,TFC,raw,0.3503331486784513,2.6966067055191835e-50,1701
baseline,novices,6,pca,raw,0.33843215145202,8.511222456677231e-47,1699
baseline,novices,7,FPRT,raw,0.42011494650832676,1.2722885555504291e-73,1699
baseline,novices,7,TFT,raw,0.3651393471171817,8.527769616841e-55,1701
baseline,novices,7,FFD,raw,0.4766860034434037,4.157140150311633e-97,1699
baseline,novices,7,SFD,raw,0.45445772135750895,4.88440219816648e-86,1673
baseline,novices,7,RPD_inc,raw,0.3295499608570657,2.5255365842682374e-44,1699
baseline,novices,7,TFC,raw,0.38326403918673124,1.2303079614723876e-60,1701
baseline,novices,7,pca,raw,0.36501874444343446,1.0735339377306395e-54,1699
baseline,novices,8,FPRT,raw,0.44435921750344304,3.8062384476978856e-83,1699
baseline,novices,8,TFT,raw,0.40158625072521065,6.28138213180614e-67,1701
baseline,novices,8,FFD,raw,0.4929239019516903,1.0446855848501363e-104,1699
baseline,novices,8,SFD,raw,0.47128304786309627,3.015884691372234e-93,1673
baseline,novices,8,RPD_inc,raw,0.3350849589467144,7.434829215871926e-46,1699
baseline,novices,8,TFC,raw,0.42535042568367104,1.0623072956153733e-75,1701
baseline,novices,8,pca,raw,0.38824346648211155,3.094229137487209e-62,1699
baseline,novices,9,FPRT,raw,0.3861306435651377,1.592704634849312e-61,1699
baseline,novices,9,TFT,raw,0.36126538424918647,1.353327069167625e-53,1701
baseline,novices,9,FFD,raw,0.415399585191333,7.3824464432184e-72,1699
baseline,novices,9,SFD,raw,0.3943107358370445,2.373245372656001e-63,1673
baseline,novices,9,RPD_inc,raw,0.2939361202482686,3.2983081172174725e-35,1699
baseline,novices,9,TFC,raw,0.37719768770762596,1.2204989303544782e-58,1701
baseline,novices,9,pca,raw,0.3528007488234793,5.693548140746374e-51,1699
baseline,novices,10,FPRT,raw,0.46815582643708525,2.8182461022190853e-93,1699
baseline,novices,10,TFT,raw,0.4559874891332692,4.2562498995608646e-88,1701
baseline,novices,10,FFD,raw,0.4755712586750322,1.3355219021106647e-96,1699
baseline,novices,10,SFD,raw,0.4553962986132964,1.9823963243987713e-86,1673
baseline,novices,10,RPD_inc,raw,0.3770811862015743,1.5535637959299421e-58,1699
baseline,novices,10,TFC,raw,0.46727751391863376,5.383760685385635e-93,1701
baseline,novices,10,pca,raw,0.4341918124897463,4.6702694206895507e-79,1699
baseline,novices,11,FPRT,raw,0.5996413163917444,1.9955715807742836e-166,1699
baseline,novices,11,TFT,raw,0.6046628969732123,4.002460657979677e-170,1701
baseline,novices,11,FFD,raw,0.5335395012092775,1.290706098727319e-125,1699
baseline,novices,11,SFD,raw,0.5169294018737441,5.803275047199415e-115,1673
baseline,novices,11,RPD_inc,raw,0.4679377564339325,3.519694463908936e-93,1699
baseline,novices,11,TFC,raw,0.6131624450618781,3.3643445709387866e-176,1701
baseline,novices,11,pca,raw,0.5741646014522584,1.3682319874109928e-149,1699
physics-ckpt1,experts,0,FPRT,raw,0.6332293298044658,7.366278692532789e-191,1697
physics-ckpt1,experts,0,TFT,raw,0.5910156134645275,9.594233936640327e-161,1701
physics-ckpt1,experts,0,FFD,raw,0.6682838131240545,4.847664461417355e-220,1697
physics-ckpt1,experts,0,SFD,raw,0.6632718748447831,2.2960318634725465e-214,1687
physics-ckpt1,experts,0,RPD_inc,raw,0.5002377530949997,3.8463406573041115e-108,1697
physics-ckpt1,experts,0,TFC,raw,0.612887608773023,5.324224436130453e-176,1701
physics-ckpt1,experts,0,pca,raw,0.557160665945791,5.457161517397966e-139,1697
physics-ckpt1,experts,1,FPRT,raw,0.47702815082584765,3.7604256032306045e-97,1697
physics-ckpt1,experts,1,TFT,raw,0.3261885112040481,1.852432787691418e-43,1701
physics-ckpt1,experts,1,FFD,raw,0.6992999400088296,2.0624103093719844e-249,1697
physics-ckpt1,experts,1,SFD,raw,0.6746186298055826,1.9916216950801622e-224,1687
physics-ckpt1,experts,1,RPD_inc,raw,0.33870623314751275,8.045874577294023e-47,1697
physics-ckpt1,experts,1,TFC,raw,0.3456898273667962,6.2117330427872526e-49,1701
physics-ckpt1,experts,1,pca,raw,0.34525706005621354,1.07096660989767e-48,1697
physics-ckpt1,experts,2,FPRT,raw,0.38588119830656165,2.270273125565456e-61,1697
physics-ckpt1,experts,2,TFT,raw,0.2559597767637079,7.517557162792317e-27,1701
physics-ckpt1,experts,2,FFD,raw,0.5586435656790322,7.10535446141602e-140,1697
physics-ckpt1,experts,2,SFD,raw,0.5380628846724514,3.1177672408098375e-127,1687
physics-ckpt1,experts,2,RPD_inc,raw,0.28644752061159773,2.0686091422274693e-33,1697
physics-ckpt1,experts,2,TFC,raw,0.27105009200937946,4.993861314277149e-30,1701
physics-ckpt1,experts,2,pca,raw,0.2772947090599597,2.4699838040542733e-31,1697
physics-ckpt1,experts,3,FPRT,raw,0.3260209760399269,2.5774255633174486e-43,1697
physics-ckpt1,experts,3,TFT,raw,0.2111303473800986,1.3599911296986254e-18,1701
physics-ckpt1,experts,3,FFD,raw,0.5106440535626678,2.373810314559286e-113,1697
physics-ckpt1,experts,3,SFD,raw,0.4903080923764314,9.753192630194665e-103,1687
physics-ckpt1,experts,3,RPD_inc,raw,0.25330852704884493,2.960029776762203e-26,1697
