text_id,word_index_in_text,surprisal,index,epoch,domain,model,condition
b1,61,0.8242438805424458,0.0,0.0,physics,german-gpt2,dapt
b1,62,0.02555746839532308,0.0,0.0,physics,german-gpt2,dapt
b1,63,2.8672971629418575,0.0,0.0,physics,german-gpt2,dapt
b1,64,9.302801450954773,0.0,0.0,physics,german-gpt2,dapt
b1,65,5.258366454442658,0.0,0.0,physics,german-gpt2,dapt
b1,66,10.521497516244821,0.0,0.0,physics,german-gpt2,dapt
b1,67,3.6612017560282464,0.0,0.0,physics,german-gpt2,dapt
b1,68,43.05687159911821,0.0,0.0,physics,german-gpt2,dapt
b1,69,7.494185287183093,0.0,0.0,physics,german-gpt2,dapt
b1,70,4.6281604518923185,0.0,0.0,physics,german-gpt2,dapt
b1,71,16.837666998425004,0.0,0.0,physics,german-gpt2,dapt
b1,72,9.384312886305178,0.0,0.0,physics,german-gpt2,dapt
b1,73,5.733417276621211,0.0,0.0,physics,german-gpt2,dapt
b1,74,18.031792418334234,0.0,0.0,physics,german-gpt2,dapt
b1,75,13.082049002847535,0.0,0.0,physics,german-gpt2,dapt
b1,76,4.109212777907544,0.0,0.0,physics,german-gpt2,dapt
b1,77,9.1487952866734,0.0,0.0,physics,german-gpt2,dapt
b1,78,3.657069356893315,0.0,0.0,physics,german-gpt2,dapt
b1,79,6.804966877642198,0.0,0.0,physics,german-gpt2,dapt
b1,80,10.806511292838287,0.0,0.0,physics,german-gpt2,dapt
b1,81,6.665247484150649,0.0,0.0,physics,german-gpt2,dapt
b1,82,19.49478381978212,0.0,0.0,physics,german-gpt2,dapt
b1,83,3.0690974778806566,0.0,0.0,physics,german-gpt2,dapt
b1,84,11.212129623175809,0.0,0.0,physics,german-gpt2,dapt
b1,85,1.8373561845573634,0.0,0.0,physics,german-gpt2,dapt
b1,86,1.7750774830616214,0.0,0.0,physics,german-gpt2,dapt
b1,87,31.167417929530842,0.0,0.0,physics,german-gpt2,dapt
b1,88,2.3722672881952245,0.0,0.0,physics,german-gpt2,dapt
b1,89,19.172994648989356,0.0,0.0,physics,german-gpt2,dapt
b1,90,1.8170637795994098,0.0,0.0,physics,german-gpt2,dapt
b1,91,17.314334457521667,0.0,0.0,physics,german-gpt2,dapt
b1,92,7.44669055832082,0.0,0.0,physics,german-gpt2,dapt
b1,93,11.101208380605934,0.0,0.0,physics,german-gpt2,dapt
b1,94,3.861595940813591,0.0,0.0,physics,german-gpt2,dapt
b1,95,16.778736326189268,0.0,0.0,physics,german-gpt2,dapt
b1,96,10.87737708809161,0.0,0.0,physics,german-gpt2,dapt
b1,97,12.578109394890303,0.0,0.0,physics,german-gpt2,dapt
b1,98,12.923240051058167,0.0,0.0,physics,german-gpt2,dapt
b1,99,7.375401685746375,0.0,0.0,physics,german-gpt2,dapt
b1,100,1.131127830932882,0.0,0.0,physics,german-gpt2,dapt
b1,101,19.47213735929482,0.0,0.0,physics,german-gpt2,dapt
b1,102,7.132649549914729,0.0,0.0,physics,german-gpt2,dapt
b1,103,10.72397991437694,0.0,0.0,physics,german-gpt2,dapt
b1,104,1.265773220276026,0.0,0.0,physics,german-gpt2,dapt
b1,105,3.645381630918992,0.0,0.0,physics,german-gpt2,dapt
b1,106,6.4666687482278125,0.0,0.0,physics,german-gpt2,dapt
b1,107,17.531316669952368,0.0,0.0,physics,german-gpt2,dapt
b1,108,2.926187462250301,0.0,0.0,physics,german-gpt2,dapt
b1,109,20.287472323544257,0.0,0.0,physics,german-gpt2,dapt
b1,110,0.2859998606200205,0.0,0.0,physics,german-gpt2,dapt
